,estimated_revenue_(usd)
watch_time_(hours),0.9583764480213386
end_screen_elements_shown,0.9359725377544091
unique_viewers,0.9279580941690384
views,0.9272260097398233
likes,0.9072293349925307
new_viewers,0.9059449286161478
impressions,0.8928439253234695
returning_viewers,0.8875511774945879
subscribers,0.8717678852401783
subscribers_gained,0.8710840506943535
dislikes,0.8604785635163342
end_screen_element_clicks,0.8362654326461119
comments_added,0.8356885452195831
subscribers_lost,0.8317073515408114
shares,0.7674389332611778
average_views_per_viewer,0.5617885693762291
average_percentage_viewed_(%),0.30494369606836325
views_from_playlist,0.2114467138073973
impressions_click-through_rate_(%),0.06736420833940426
views_per_playlist_start,-0.036212283336708145
clicks_per_end_screen_element_shown_(%),-0.2539434534066804
